datum,georegion,entries
2020-07-13,VS,0
2020-05-27,CH,0
2021-03-14,CHFL,54
2021-03-15,CHFL,73
2021-03-16,CHFL,54
2021-03-19,CHFL,70
2021-03-20,CHFL,50
2021-03-22,CHFL,68
2021-03-23,CHFL,53
2021-03-24,CHFL,70
2021-03-25,CHFL,67
2021-03-26,CHFL,79
2021-06-04,TI,2
2021-03-27,CHFL,77
2022-03-05,SZ,3
2020-07-14,VS,0
2020-06-03,CH,2
2021-03-28,CHFL,57
2021-03-29,CHFL,82
2021-03-30,CHFL,79
2021-03-31,CHFL,79
2021-04-01,CHFL,75
2021-04-02,CHFL,68
2021-04-03,CHFL,83
2021-04-04,CHFL,83
2021-04-05,CHFL,69
2021-04-06,CHFL,91
2021-06-19,TI,0
2021-04-07,CHFL,67
2022-03-06,SZ,3
2020-07-15,VS,0
2020-06-04,CH,3
2021-04-08,CHFL,95
2021-04-09,CHFL,82
2021-04-10,CHFL,57
2021-04-11,CHFL,51
2021-04-12,CHFL,97
2021-04-13,CHFL,60
2021-04-14,CHFL,66
2021-04-15,CHFL,87
2021-04-16,CHFL,74
2021-04-19,CHFL,75
2021-07-04,TI,0
2021-04-20,CHFL,83
2022-03-07,SZ,4
2020-07-16,VS,0
2020-06-08,CH,2
2021-04-21,CHFL,84
2021-04-29,CHFL,64
2021-05-05,CHFL,56
2021-05-06,CHFL,49
2021-05-07,CHFL,44
2021-05-08,CHFL,35
2021-05-09,CHFL,44
2021-05-10,CHFL,43
2021-05-11,CHFL,40
2021-05-13,CHFL,30
2021-07-23,TI,2
2021-05-14,CHFL,31
2020-07-17,VS,0
2020-06-09,CH,0
2021-04-25,BE,3
2021-05-15,CHFL,29
2021-05-17,CHFL,42
2021-05-18,CHFL,40
2021-05-19,CHFL,49
2021-05-20,CHFL,39
2021-05-21,CHFL,30
2021-05-22,CHFL,25
2021-05-23,CHFL,30
2022-03-08,SZ,1
2021-08-04,TI,0
2021-07-19,GL,0
2021-05-24,CHFL,16
2020-10-26,CH,248
2020-10-27,CH,214
2020-10-29,CH,239
2021-05-25,CHFL,28
2021-05-26,CHFL,26
2021-05-27,CHFL,25
2021-05-28,CHFL,25
2021-05-29,CHFL,22
2021-05-30,CHFL,13
2021-05-31,CHFL,21
2021-06-01,CHFL,19
2021-06-02,CHFL,13
2020-07-18,VS,0
2020-07-19,VS,0
